priceaed,bedrooms,bathrooms,sizesqft,pricepersqft,community,propertytype,furnishing,constructionstatus,listingdate,latitude,longitude,priceband
8100000.0,3.0,4.0,41.0,197560.9756097561,Al Barari,Apartment,Unfurnished,Ready,2023-12-05,25.118864,55.32097,5–10M
7395000.0,3.0,4.0,41.0,180365.8536585366,Al Barari,Apartment,Unfurnished,Ready,2024-01-11,25.118864,55.32097,5–10M
3599900.0,1.0,2.0,41.0,87802.43902439025,Al Barari,Apartment,Unfurnished,Ready,2024-04-22,25.118864,55.32097,3–5M
7750000.0,3.0,3.0,41.0,189024.39024390245,Al Barari,Apartment,Unfurnished,Ready,2024-03-11,25.118864,55.32097,5–10M
7000000.0,3.0,3.0,41.0,170731.70731707316,Al Barari,Apartment,Furnished,Ready,2023-09-21,25.118864,55.32097,5–10M
3700000.0,1.0,2.0,38.0,97368.42105263157,Al Barari,Apartment,Furnished,Ready,2024-02-15,25.118864,55.32097,3–5M
3100000.0,1.0,2.0,1.0,3100000.0,Al Barari,Apartment,Unfurnished,Ready,2024-03-11,25.118864,55.32097,3–5M
7750000.0,3.0,3.0,41.0,189024.39024390245,Al Barari,Apartment,Unfurnished,Ready,2024-02-02,25.118864,55.32097,5–10M
5550000.0,2.0,3.0,38.0,146052.63157894736,Al Barari,Apartment,Unfurnished,Ready,2024-01-02,25.118864,55.32097,5–10M
1200000.0,1.0,1.0,155.0,7741.935483870968,Al Barsha,Apartment,Unfurnished,Ready,2024-04-06,25.096327,55.198402,1–2M
1000000.0,1.0,1.0,155.0,6451.612903225807,Al Barsha,Apartment,Unfurnished,Ready,2024-01-23,25.096327,55.198402,<1M
1200000.0,1.0,1.0,155.0,7741.935483870968,Al Barsha,Apartment,Furnished,Ready,2024-04-06,25.096327,55.198402,1–2M
1550000.0,2.0,3.0,155.0,10000.0,Al Barsha,Apartment,Unfurnished,Ready,2024-02-05,25.096327,55.198402,1–2M
1100000.0,1.0,1.0,155.0,7096.774193548387,Al Barsha,Apartment,Unfurnished,Ready,2024-04-16,25.096327,55.198402,1–2M
1000000.0,1.0,1.0,155.0,6451.612903225807,Al Barsha,Apartment,Unfurnished,Ready,2024-01-26,25.096327,55.198402,<1M
